0,Apple iPhone 14 128GB (Product) RED,₹71,999,4.5,/sspa/click?ie=UTF8&spc=MToyNTQ5ODY2Njg2OTYyNjcyOjE2NzY2NDg3Njg6c3BfYXRmOjIwMDc3MzUyNzI2MTk4OjowOjo&url=%2FApple-iPhone-128GB-Product-RED%2Fdp%2FB0BDJVSDMY%2Fref%3Dsr_1_1_sspa%3Fcrid%3D11RV6KIOXGOJH%26keywords%3Diphone%2B14%26qid%3D1676648768%26sprefix%3Di%252Caps%252C373%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,Apple iPhone 13 (128GB) - Blue,₹61,999,4.6,/sspa/click?ie=UTF8&spc=MToyNTQ5ODY2Njg2OTYyNjcyOjE2NzY2NDg3Njg6c3BfYXRmOjIwMDc0MjM0NjExMzAzOjowOjo&url=%2FApple-iPhone-13-128GB-Blue%2Fdp%2FB09G9BL5CP%2Fref%3Dsr_1_2_sspa%3Fcrid%3D11RV6KIOXGOJH%26keywords%3Diphone%2B14%26qid%3D1676648768%26sprefix%3Di%252Caps%252C373%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,Apple iPhone 14 128GB (Product) RED,₹71,999,4.5,/Apple-iPhone-128GB-Product-RED/dp/B0BDJVSDMY/ref=sr_1_3?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-3
3,Apple iPhone 14 256GB (Product) RED,₹81,999,4.5,/Apple-iPhone-256GB-Product-RED/dp/B0BDJ3R6QW/ref=sr_1_4?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-4
4,Apple iPhone 14 Pro 128GB Space Black,₹1,22,999,4.6,/Apple-iPhone-128GB-Space-Black/dp/B0BDJ7P6NG/ref=sr_1_5?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-5
5,Apple iPhone 14 Plus 128GB Midnight,₹80,999,4.6,/Apple-iPhone-Plus-128GB-Midnight/dp/B0BDJKL7KM/ref=sr_1_6?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-6
6,Apple iPhone 14 Pro 128GB Gold,₹1,29,900,4.6,/Apple-iPhone-Pro-128GB-Gold/dp/B0BDJBGBF3/ref=sr_1_7?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-7
7,Apple iPhone 14 512GB Blue,₹1,01,999,4.5,/Apple-iPhone-14-512GB-Blue/dp/B0BDJH3V3Q/ref=sr_1_8?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-8
8,Apple iPhone 14 Plus 256GB Midnight,₹90,999,4.6,/Apple-iPhone-Plus-256GB-Midnight/dp/B0BDJS1D9Y/ref=sr_1_9?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-9
9,Apple iPhone 14 Plus 128GB Purple,₹80,999,4.6,/Apple-iPhone-Plus-128GB-Purple/dp/B0BDJMSBXY/ref=sr_1_10?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-10
10,Apple iPhone 14 Pro 128GB Deep Purple,₹1,22,990,4.6,/Apple-iPhone-128GB-Deep-Purple/dp/B0BDJ6ZMCC/ref=sr_1_11?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-11
11,Apple iPhone 14 512GB (Product) RED,₹1,04,900,4.5,/Apple-iPhone-512GB-Product-RED/dp/B0BDHY3LFJ/ref=sr_1_12?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-12
12,Apple iPhone 14 Pro 512GB Space Black,₹1,59,900,4.6,/Apple-iPhone-512GB-Space-Black/dp/B0BDJKF6G6/ref=sr_1_13?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-13
13,Apple iPhone 14 Pro 256GB Deep Purple,₹1,34,990,4.6,/Apple-iPhone-256GB-Deep-Purple/dp/B0BDHV1TZ4/ref=sr_1_14?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-14
14,Apple iPhone 14 Pro Max 128GB Deep Purple,₹1,32,990,4.5,/Apple-iPhone-128GB-Deep-Purple/dp/B0BDJH6GL8/ref=sr_1_15?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-15
15,Apple iPhone 13 (128GB) - Blue,₹61,999,4.6,/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=sr_1_16?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-16
16,Apple iPhone 14 Pro 256GB Space Black,₹1,39,900,4.6,/Apple-iPhone-256GB-Space-Black/dp/B0BDJ52N7F/ref=sr_1_17?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-17
17,Apple iPhone 14 Pro Max 128GB Space Black,₹1,32,999,4.5,/Apple-iPhone-128GB-Space-Black/dp/B0BDJ22G36/ref=sr_1_18?crid=11RV6KIOXGOJH&keywords=iphone+14&qid=1676648768&sprefix=i%2Caps%2C373&sr=8-18
18,Samsung Galaxy S23 Plus 5G (Phantom Black| 8GB, 256GB Storage) Galaxy Watch4 Bluetooth and,₹97,998,undefined,/sspa/click?ie=UTF8&spc=MToyNTQ5ODY2Njg2OTYyNjcyOjE2NzY2NDg3Njg6c3BfYnRmOjIwMTIxMDA0NDM3NDk4OjowOjo&url=%2FSamsung-Galaxy-Phantom-Storage-Bluetooth%2Fdp%2FB0BTRZ3XTC%2Fref%3Dsr_1_19_sspa%3Fcrid%3D11RV6KIOXGOJH%26keywords%3Diphone%2B14%26qid%3D1676648768%26sprefix%3Di%252Caps%252C373%26sr%3D8-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1